Address,Latitude,Longitude,Easting,Northing
B1 3AA,52.484169,-1.914372,405912,287364
B42 2PY,52.540612,-1.907834,406348,293643
B72 1RB,52.558704,-1.818556,412398,295667
B13 8QB,52.441099,-1.893389,407344,282575
B12 0YH,52.465537,-1.887089,407768,285294
B23 5XA,52.531195,-1.830934,411566,292605
B21 8HH,52.516059,-1.951519,403387,290909
B16 9SL,52.475402,-1.941051,404101,286387
B38 8AP,52.409184,-1.946814,403715,279021
B9 5RX,52.483667,-1.832309,411485,287318
B29 7PH,52.438108,-1.919904,405542,282240
B29 4HE,52.428981,-1.977175,401649,281222
B10 9RX,52.472946,-1.855168,409935,286122
B10 9LR,52.469994,-1.832743,411459,285797
B23 7JH,52.522988,-1.859086,409658,291688
B73 5PT,52.55428,-1.829813,411636,295173
B13 0TW,52.429672,-1.874164,408653,281306
B31 4BS,52.397874,-1.97165,402026,277762
B31 4BP,52.39987,-1.969841,402149,277984
B8 2AS,52.490035,-1.821695,412204,288028
B9 5QA,52.475998,-1.831852,411518,286465
B9 5QA,52.475998,-1.831852,411518,286465
B13 0SF,52.427887,-1.887317,407759,281106
B11 3EY,52.450332,-1.844824,410643,283608
CV1 4BU,52.415218,-1.51608,433011,279801
CV3 6BH,52.379958,-1.536034,431679,275870
CV1 2BA,52.401185,-1.49257,434621,278251
CV2 5BD,52.414515,-1.45372,437253,279753
CV6 2FR,52.443123,-1.533841,431783,282897
CV2 2AJ,52.436142,-1.452982,437285,282159
